"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146","Metersupplier getmeterbatch","Meter Supplier","Tue Sep 09 15:13:31 UTC 2025","passed","Tue Sep 09 15:13:31 UTC 2025","Transfered Batches > Get Transfered Meter by batch with Meter ID & Meter Phase > {data} > {vendorid} > {offset} > {limit}","Inventory Management","",""
"","147","msbatchschedule - Pending","Meter Supplier","Tue Sep 09 15:13:27 UTC 2025","passed","Tue Sep 09 15:13:27 UTC 2025","Get Pending schedule batch > {status} > {vendor} > {offset} > {limit}","Installation Management","",""
"","144","/api/Metersupplier/metercost/:data/:offset/:limit","Meter Supplier","Tue Sep 09 15:13:39 UTC 2025","passed","Tue Sep 09 15:13:39 UTC 2025","{data} > {offset} > {limit}","Get Meter cost","",""
"","154","msinvites","Meter Supplier","Tue Sep 09 15:13:35 UTC 2025","failed","Tue Sep 09 15:13:35 UTC 2025","User Management > MS Invites","Settings","",""
"","159","Invalid login username","Meter Supplier","Tue Sep 09 15:13:26 UTC 2025","passed","Tue Sep 09 15:13:26 UTC 2025","","Login","",""
"","147","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:13:29 UTC 2025","passed","Tue Sep 09 15:13:29 UTC 2025","Certified Batches > Get Certified Meters by batch number > {data} > {offset} > {limit}","Inventory Management","",""
"","148","msbatchschedule - Pending","Meter Supplier","Tue Sep 09 15:13:27 UTC 2025","passed","Tue Sep 09 15:13:28 UTC 2025","Get Completed schedule by batch ID > {status} > {vendor} > {offset} > {limit}","Installation Management","",""
"","148","metercost","Meter Supplier","Tue Sep 09 15:13:39 UTC 2025","passed","Tue Sep 09 15:13:39 UTC 2025","","Get Meter cost","",""
"","147","schedulebyid","Meter Supplier","Tue Sep 09 15:13:37 UTC 2025","passed","Tue Sep 09 15:13:38 UTC 2025","{data} > {offset} > {limit}","Get Schedule by ID","",""
"","148","Metersupplier getmeterbatch","Meter Supplier","Tue Sep 09 15:13:30 UTC 2025","passed","Tue Sep 09 15:13:30 UTC 2025","Certified Batches > Get Meter by batch with Meter ID > {data} > {vendorid} > {offset} > {limit}","Inventory Management","",""
"","144","Metersupplier cancel","Meter Supplier","Tue Sep 09 15:13:35 UTC 2025","passed","Tue Sep 09 15:13:35 UTC 2025","User Management > Cancel Invite","Settings","",""
"","147","postcomment","Meter Supplier","Tue Sep 09 15:13:36 UTC 2025","passed","Tue Sep 09 15:13:36 UTC 2025","","Post Comment","",""
"","571","Authorize","Meter Supplier","Tue Sep 09 15:13:24 UTC 2025","passed","Tue Sep 09 15:13:25 UTC 2025","","Authorization","",""
"","147","Metersupplier getmeterbatch","Meter Supplier","Tue Sep 09 15:13:31 UTC 2025","passed","Tue Sep 09 15:13:31 UTC 2025","Transfered Batches > Get Transfered Meter by batch with Meter ID & Status > {data} > {vendorid} > {offset} > {limit}","Inventory Management","",""
"","151","installationschedulebatch","Meter Supplier","Tue Sep 09 15:13:28 UTC 2025","passed","Tue Sep 09 15:13:28 UTC 2025","Get Customer's Installation Schedule > {batch} > {vendor} > {offset} > {limit}","Installation Management","",""
"","151","update activity","Meter Supplier","Tue Sep 09 15:13:31 UTC 2025","passed","Tue Sep 09 15:13:32 UTC 2025","User Management > Post User activities","Settings","",""
"","147","msinventtrack","Meter Supplier","Tue Sep 09 15:13:30 UTC 2025","passed","Tue Sep 09 15:13:30 UTC 2025","Transfered Batches > Get Transfered Meter Batches by Batch ID > {data} > {offset} > {limit}","Inventory Management","",""
"","146","msmetergroupbatch","Meter Supplier","Tue Sep 09 15:13:36 UTC 2025","passed","Tue Sep 09 15:13:36 UTC 2025","{vendorid} > {offset} > {limit}","Get Meter by Group Batch","",""
"","149","Empty login Credentials","Meter Supplier","Tue Sep 09 15:13:26 UTC 2025","passed","Tue Sep 09 15:13:26 UTC 2025","","Login","",""
"","150","msinstallationquick","Meter Supplier","Tue Sep 09 15:13:27 UTC 2025","passed","Tue Sep 09 15:13:27 UTC 2025","Get installation quick view > {data}","Installation Management","",""
"","150","meter suppliers","Meter Supplier","Tue Sep 09 15:13:26 UTC 2025","passed","Tue Sep 09 15:13:26 UTC 2025","Get Meter Supplier List > {offset} > {limit}","Contract Management","",""
"","148","tracktransfer","Meter Supplier","Tue Sep 09 15:13:37 UTC 2025","passed","Tue Sep 09 15:13:37 UTC 2025","{data}","Track meter transfer","",""
"","149","New Request","Meter Supplier","Tue Sep 09 15:13:28 UTC 2025","passed","Tue Sep 09 15:13:28 UTC 2025","Dashboard > Get MS activities","Inventory Management","",""
"","148","transferprogress","Meter Supplier","Tue Sep 09 15:13:31 UTC 2025","passed","Tue Sep 09 15:13:31 UTC 2025","Transfered Batches > Meter Transfer Progress > {data} > {vendorid}","Inventory Management","",""
"","169","verifyaccountcode","Meter Supplier","Tue Sep 09 15:13:39 UTC 2025","passed","Tue Sep 09 15:13:39 UTC 2025","{data} > {code}","Verify User","",""
"","147","Metersupplier transfermeter","Meter Supplier","Tue Sep 09 15:13:38 UTC 2025","passed","Tue Sep 09 15:13:38 UTC 2025","","Transfer Meters","",""
"","146","getmetersupplier","Meter Supplier","Tue Sep 09 15:13:35 UTC 2025","passed","Tue Sep 09 15:13:35 UTC 2025","User Management > Get Meter Supplier > {data} > {offset} > {limit}","Settings","",""
"","151","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:13:29 UTC 2025","passed","Tue Sep 09 15:13:29 UTC 2025","Uploaded Batches > Get Meters group by batch number > {data} > {offset} > {limit}","Inventory Management","",""
"","151","discolist","Meter Supplier","Tue Sep 09 15:13:26 UTC 2025","passed","Tue Sep 09 15:13:27 UTC 2025","Asset Folder > Disco List","Contract Management","",""
"","148","transferbatch","Meter Supplier","Tue Sep 09 15:13:39 UTC 2025","passed","Tue Sep 09 15:13:39 UTC 2025","","Transfer meter by batch","",""
"","184","getapplogs","Meter Supplier","Tue Sep 09 15:13:37 UTC 2025","passed","Tue Sep 09 15:13:37 UTC 2025","{offset} > {limit}","Get logs","",""
"","147","uploadmeters","Meter Supplier","Tue Sep 09 15:13:38 UTC 2025","passed","Tue Sep 09 15:13:39 UTC 2025","","Upload Meters","",""
"","146","mstransquick","Meter Supplier","Tue Sep 09 15:13:30 UTC 2025","passed","Tue Sep 09 15:13:30 UTC 2025","Transfered Batches > Get Transfered Meter Quick Overview > {data}","Inventory Management","",""
"","147","msmeterbatch","Meter Supplier","Tue Sep 09 15:13:30 UTC 2025","passed","Tue Sep 09 15:13:31 UTC 2025","Transfered Batches > Get a Meter Batch details > {data} > {datatype} > {offset} > {limit}","Inventory Management","",""
"","148","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:13:29 UTC 2025","passed","Tue Sep 09 15:13:29 UTC 2025","Uploaded Batches > Get Meters group by batch Status > {data} > {offset} > {limit}","Inventory Management","",""
"","148","getmeters","Meter Supplier","Tue Sep 09 15:13:37 UTC 2025","passed","Tue Sep 09 15:13:37 UTC 2025","{data} > {offset} > {limit}","Get Meters","",""
"","173","validate password complexity","Meter Supplier","Tue Sep 09 15:13:36 UTC 2025","failed","Tue Sep 09 15:13:36 UTC 2025","Security > Update Password","Settings","",""
"","165","Invalid Authorize Username","Meter Supplier","Tue Sep 09 15:13:25 UTC 2025","passed","Tue Sep 09 15:13:25 UTC 2025","","Authorization","",""
"","149","get comments","Meter Supplier","Tue Sep 09 15:13:28 UTC 2025","passed","Tue Sep 09 15:13:28 UTC 2025","Get User's Comment > {data} > {offset} > {limit}","Installation Management","",""
"","151","Metersupplier getmeterbatch","Meter Supplier","Tue Sep 09 15:13:29 UTC 2025","passed","Tue Sep 09 15:13:30 UTC 2025","Certified Batches > Get Meter by batch > {data} > {vendorid} > {offset} > {limit}","Inventory Management","",""
"","149","inventoryuploadbatch","Meter Supplier","Tue Sep 09 15:13:29 UTC 2025","passed","Tue Sep 09 15:13:29 UTC 2025","Certified Batches > Get Certified Meters by Meter Brand > {data} > {offset} > {limit}","Inventory Management","",""
"","148","Metersupplier activate","Meter Supplier","Tue Sep 09 15:13:38 UTC 2025","passed","Tue Sep 09 15:13:38 UTC 2025","","Activate Account","",""
"","144","logout","Meter Supplier","Tue Sep 09 15:13:39 UTC 2025","passed","Tue Sep 09 15:13:39 UTC 2025","","Logout","",""
"","148","invited accounts","Meter Supplier","Tue Sep 09 15:13:35 UTC 2025","passed","Tue Sep 09 15:13:35 UTC 2025","User Management > Get Invited Users > {data} > {offset} > {limit}","Settings","",""
"","149","msschedulebatch","Meter Supplier","Tue Sep 09 15:13:36 UTC 2025","passed","Tue Sep 09 15:13:37 UTC 2025","{data} > {vendor} > {disco} > {offset} > {limit}","Get schedule by batch","",""
"","149","msinventorybatchview","Meter Supplier","Tue Sep 09 15:13:28 UTC 2025","passed","Tue Sep 09 15:13:28 UTC 2025","Uploaded Batches > Get Inventory quick view > {data}","Inventory Management","",""
"","148","Metersupplier getinvite","Meter Supplier","Tue Sep 09 15:13:35 UTC 2025","passed","Tue Sep 09 15:13:35 UTC 2025","User Management > Get Invited account > {data} > {offset} > {limit}","Settings","",""
